"OBJECTID","PITID","KST","ANLAG_OBJN","AKTENZEICH","STANDORT_N","KENNZEICHE","NAME_NUMBE","NAME_BEZIR","NAME","GEFAELLT","LAUFENDE_N","ART_BOTANI","ART_DEUTSC","STAMMUMFAN","KRONNENDUR","BAUMHOEHE","ZUSATZ","ERSTERFASS","REGEL_KONT","EAST","NORTH","FAELLDATUM","NAME_D","MESS_ART","MESS_DATUM","VITALITAET"
"8","00008100:00080795","1110","2454","I 20 61","270","2454-","Sielkamp, ASP","Bezirk 01","Abenteuerspielplatz (ASP)","0.0","1","Quercus robur","Stiel-Eiche","106","0","19","0","0.0","20211111000000","602488.95","5794880.19","0.0","Einzelbäume (Solitärfunktion)","Felderfassung, LP 3","1242597600.0","schwach geschädigt, 11-25%"
"9","00008100:00080796","1110","2454","I 20 61","240","2454-","Sielkamp, ASP","Bezirk 01","Abenteuerspielplatz (ASP)","0.0","1","Quercus robur","Stiel-Eiche","95","0","12","0","0.0","20211111000000","602495.48","5794865.51","0.0","Einzelbäume (Solitärfunktion)","Felderfassung, LP 3","1242597600.0","schwach geschädigt, 11-25%"
"10","00008100:00080797","1110","2454","I 20 61","290","2454-","Sielkamp, ASP","Bezirk 01","Abenteuerspielplatz (ASP)","0.0","1","Quercus robur","Stiel-Eiche","111","0","22","0","0.0","20211111000000","602485.0","5794879.59","0.0","Einzelbäume (Solitärfunktion)","Felderfassung, LP 3","1242597600.0","schwach geschädigt, 11-25%"
"11","00008100:00080798","1110","2454","I 20 61","180","2454-","Sielkamp, ASP","Bezirk 01","Abenteuerspielplatz (ASP)","0.0","1","Quercus robur","Stiel-Eiche","100","0","15","0","0.0","20211111000000","602503.32","5794846.54","0.0","Einzelbäume (Solitärfunktion)","Felderfassung, LP 3","1242597600.0","mittelstark geschädigt, 26-60%"
"12","00008100:0008079a","1110","2454","I 20 61","190","2454-","Sielkamp, ASP","Bezirk 01","Abenteuerspielplatz (ASP)","0.0","1","Quercus robur","Stiel-Eiche","83","0","7","0","0.0","20211111000000","602504.11","5794852.37","0.0","Einzelbäume (Solitärfunktion)","Felderfassung, LP 3","1242597600.0","schwach geschädigt, 11-25%"
"13","00008100:0008079b","1110","2454","I 20 61","220","2454-","Sielkamp, ASP","Bezirk 01","Abenteuerspielplatz (ASP)","0.0","1","Quercus robur","Stiel-Eiche","137","0","18","0","0.0","20211111000000","602498.82","5794858.21","0.0","Einzelbäume (Solitärfunktion)","Felderfassung, LP 3","1242597600.0","schwach geschädigt, 11-25%"
"14","00008100:0008079c","1110","2454","I 20 61","230","2454-","Sielkamp, ASP","Bezirk 01","Abenteuerspielplatz (ASP)","0.0","1","Quercus robur","Stiel-Eiche","186","0","22","0","0.0","20211111000000","602497.24","5794861.4","0.0","Einzelbäume (Solitärfunktion)","Felderfassung, LP 3","1242597600.0","schwach geschädigt, 11-25%"
"15","00008100:0008079f","1110","2454","I 20 61","160","2454-","Sielkamp, ASP","Bezirk 01","Abenteuerspielplatz (ASP)","0.0","1","Quercus robur","Stiel-Eiche","78","0","18","0","0.0","20211111000000","602511.36","5794847.2","0.0","Einzelbäume (Solitärfunktion)","Felderfassung, LP 3","1242597600.0","ohne oder kaum Schadmerkmale, 0-10%"
"16","00008100:000807a3","1110","2454","I 20 61","50","2454-","Sielkamp, ASP","Bezirk 01","Abenteuerspielplatz (ASP)","0.0","1","Tilia cordata","Winter-Linde","77","0","15","0","0.0","20211111000000","602524.7","5794850.67","0.0","Einzelbäume (Solitärfunktion)","Felderfassung, LP 3","1242597600.0","ohne oder kaum Schadmerkmale, 0-10%"
"17","00008100:000807a5","1110","2454","I 20 61","60","2454-","Sielkamp, ASP","Bezirk 01","Abenteuerspielplatz (ASP)","0.0","1","Tilia cordata","Winter-Linde","100","0","18","0","0.0","20211111000000","602524.73","5794849.97","0.0","Einzelbäume (Solitärfunktion)","Felderfassung, LP 3","1242597600.0","ohne oder kaum Schadmerkmale, 0-10%"
"18","00008100:000807a6","1110","2454","I 20 61","170","2454-","Sielkamp, ASP","Bezirk 01","Abenteuerspielplatz (ASP)","0.0","1","Quercus robur","Stiel-Eiche","175","0","27","0","0.0","20211111000000","602510.47","5794842.66","0.0","Einzelbäume (Solitärfunktion)","Felderfassung, LP 3","1242597600.0","ohne oder kaum Schadmerkmale, 0-10%"
"19","00008100:000807a7","1110","2454","I 20 61","10","2454-","Sielkamp, ASP","Bezirk 01","Abenteuerspielplatz (ASP)","0.0","1","Acer platanoides","Spitz-Ahorn","167","0","15","0","0.0","20211111000000","602535.91","5794880.59","0.0","Einzelbäume (Solitärfunktion)","Felderfassung, LP 3","1242597600.0","ohne oder kaum Schadmerkmale, 0-10%"
"20","00008100:000807ab","1110","2454","I 20 61","40","2454-","Sielkamp, ASP","Bezirk 01","Abenteuerspielplatz (ASP)","0.0","1","Carpinus betulus","Gemeine Hainbuche","76","0","16","0","0.0","20211111000000","602524.72","5794850.29","0.0","Einzelbäume (Solitärfunktion)","Felderfassung, LP 3","1242597600.0","ohne oder kaum Schadmerkmale, 0-10%"
"21","00008100:000807b9","1110","1369","I 10 131","10","1369-","In den Rosenäckern, Feuerwehr Lehndorf","Bezirk 01","Betriebshof (BI)","0.0","1","Pinus nigra","Schwarz-Kiefer","95","0","18","0","0.0","20130803000000","601062.85","5792260.88","0.0","Einzelbäume (Solitärfunktion)","Felderfassung, LP 3","1242597600.0","ohne oder kaum Schadmerkmale, 0-10%"
"22","00008100:000807bc","1110","1360","I 10 122","110","1360-","Saarplatz 2, GS Lehndorf","Bezirk 01","Schule (SC)","0.0","1","Crataegus  species","Weißdorn","35","0","6","0","0.0","20160402000000","601022.97","5792530.21","0.0","Einzelbäume (Solitärfunktion)","korrig. photogrammetr. Messung, LP 2","1242597600.0","ohne oder kaum Schadmerkmale, 0-10%"
"23","00008100:0003f375","1110","714","III 21 10","370","0714-","In den Springäckern, SB","Bezirk 03","Spiel- und Bolzplatz (SB)","0.0","1","Crataegus monogyna","Eingriffliger Weißdorn","63","0","14","","0.0","20200613000000","606815.52","5786682.96","0.0","Einzelbäume (Solitärfunktion)","Felderfassung, LP 3","1242597600.0","ohne oder kaum Schadmerkmale, 0-10%"
"24","00008100:000c08cf","1110","360","II 20 62","9110","0360-","Südsee-Gebiet","Bezirk 02","Parkanlage (PA)","0.0","1","Pinus nigra","Schwarz-Kiefer","82","0","11","","0.0","20200723000000","603549.79","5788173.78","0.0","Bäume an Wegen in Grünanlagen","Felderfassung, LP 3","1242597600.0","schwach geschädigt, 11-25%"
"25","00008100:000c08d0","1110","360","II 20 62","8840","0360-","Südsee-Gebiet","Bezirk 02","Parkanlage (PA)","0.0","1","Quercus robur","Stiel-Eiche","78","0","15","","0.0","20210723000000","603648.19","5788262.61","0.0","Bäume an Wegen in Grünanlagen","Felderfassung, LP 3","1242597600.0","schwach geschädigt, 11-25%"
